Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Nashville religious school shooting,"Nashville,Tennessee",3/27/2023,2023,6,1,6,Mass,School,28,19-34,Unclear,Transfeminine,Unclear,Nashville,Tennessee,TN,36.11766396,-86.93142929
Michigan State University shooting,"East Lansing, Michigan",2/13/2023,2023,3,5,8,Mass,School,43,35-64,Black,Male,Unclear,East Lansing,Michigan,MI,42.72309047,-84.48309885
Half Moon Bay spree shooting,"Half Moon Bay, California",1/23/2023,2023,7,1,8,Spree,Workplace,67,65-72,Asian,Male,Unclear,Half Moon Bay,California,CA,37.48064886,-122.45016059999999
LA dance studio mass shooting,"Monterey Park, California",1/21/2023,2023,11,10,21,Mass,Other,72,65-72,Asian,Male,Yes,Monterey Park,California,CA,34.09541603,-118.1266209
Virginia Walmart shooting,"Chesapeake, Virginia",11/22/2022,2022,6,6,12,Mass,Workplace,31,19-34,Black,Male,Unclear,Chesapeake,Virginia,VA,36.78558088,-76.25019414
LGBTQ club shooting,"Colorado Springs, Colorado",11/19/2022,2022,5,25,30,Mass,Other,22,19-34,White,Male,Yes,Colorado Springs,Colorado,CO,38.98442251,-104.78038509999999
University of Virginia shooting,"Charlottesville, Virginia",11/13/2022,2022,3,2,5,Mass,School,22,19-34,Black,Male,Unclear,Charlottesville,Virginia,VA,39.29075819,-78.8898298
Raleigh spree shooting,"Hedingham, North Carolina",10/13/2022,2022,5,2,7,Spree,Other,15,10-18,White,Male,Unclear,Hedingham,North Carolina,NC,35.80956013,-78.54542696
Greenwood Park Mall shooting,"Greenwood, Indiana",7/17/2022,2022,3,2,5,Mass,Workplace,20,19-34,White,Male,Unclear,Greenwood,Indiana,IN,39.63380289,-86.12208113
Highland Park July 4 parade shooting,"Highland Park, Illinois",7/4/2022,2022,7,46,53,Mass,Other,21,19-34,White,Male,Unclear,Highland Park,Illinois,IL,29.19983627,-87.80143855
Church potluck dinner shooting,"Birmingham, Alabama",6/16/2022,2022,3,0,3,Mass,Religious,70,65-72,White,Male,Unclear,Birmingham,Alabama,AL,33.44977271,-86.79006333
Concrete company shooting,"Smithsburg, Maryland",6/9/2022,2022,3,1,4,Mass,Workplace,23,19-34,Unclear,Male,Unclear,Smithsburg,Maryland,MD,39.67840598,-77.75942085
Tulsa medical center shooting,"Tulsa, Oklahoma",6/1/2022,2022,4,9,13,Mass,Workplace,45,35-64,Black,Male,Unclear,Tulsa,Oklahoma,OK,36.09585677,-95.92247028
